WARNING 2025-07-06 20:41:44,526 log 7633 140200046999232 Not Found: /favicon.ico
WARNING 2025-07-06 20:41:44,526 basehttp 7633 140200046999232 "GET /favicon.ico HTTP/1.1" 404 3778
WARNING 2025-07-06 20:42:01,884 log 7633 140200063784640 Not Found: /api/invoices/
WARNING 2025-07-06 20:42:01,884 basehttp 7633 140200063784640 "GET /api/invoices/ HTTP/1.1" 404 3784
WARNING 2025-07-06 20:42:11,188 log 7633 140200063784640 Not Found: /api/invoices/
WARNING 2025-07-06 20:42:11,189 basehttp 7633 140200063784640 "GET /api/invoices/ HTTP/1.1" 404 3784
INFO 2025-07-06 20:42:47,059 autoreload 7755 140092207898752 Watching for file changes with StatReloader
WARNING 2025-07-06 20:42:47,642 log 7755 140092124427968 Not Found: /api/invoices/
WARNING 2025-07-06 20:42:47,643 basehttp 7755 140092124427968 "GET /api/invoices/ HTTP/1.1" 404 3784
WARNING 2025-07-06 20:42:57,995 log 7755 140092124427968 Not Found: /api/invoices/
WARNING 2025-07-06 20:42:57,995 basehttp 7755 140092124427968 "GET /api/invoices/ HTTP/1.1" 404 3784
WARNING 2025-07-06 20:43:00,384 log 7755 140092124427968 Not Found: /api/customers/
WARNING 2025-07-06 20:43:00,384 basehttp 7755 140092124427968 "GET /api/customers/ HTTP/1.1" 404 3787
WARNING 2025-07-06 20:43:29,269 log 7755 140091901081280 Not Found: /api/customers/
WARNING 2025-07-06 20:43:29,270 basehttp 7755 140091901081280 "GET /api/customers/ HTTP/1.1" 404 3787
WARNING 2025-07-06 20:46:32,707 log 7755 140092124427968 Not Found: /api/customers/
WARNING 2025-07-06 20:46:32,708 basehttp 7755 140092124427968 "GET /api/customers/ HTTP/1.1" 404 3787
WARNING 2025-07-06 20:46:40,724 log 7755 140091892688576 Not Found: /api/customers/
WARNING 2025-07-06 20:46:40,725 basehttp 7755 140091892688576 "GET /api/customers/ HTTP/1.1" 404 3787
WARNING 2025-07-06 20:47:02,918 log 7755 140091892688576 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:02,919 basehttp 7755 140091892688576 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:47:11,577 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:11,578 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:47:41,336 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:41,337 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:47:44,480 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:44,480 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:47:47,928 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:47,928 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
